sid,gid,order,self_x,self_y,other_x,other_y,choice_x,s_y,s_x,r_y,r_x,bf_consciousness,bf_openness,bf_extraversion,bf_agreeableness,bf_neuroticism,cogabil,pe_D1_stud_natsci,pe_D1_stud_law,pe_D1_stud_socsci,pe_D1_stud_med,pe_monthinc,pe_age,pe_female,_merge,missing_data
12010050501,121,1,510,150,810,930,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,341,2,870,870,140,520,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,291,3,890,850,520,140,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,101,4,400,260,690,1050,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,351,5,890,850,140,520,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,271,6,990,750,480,180,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,61,7,410,250,1050,690,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,361,8,940,800,150,510,0,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,81,9,330,330,680,1060,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,391,10,1060,680,330,330,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,371,11,1010,730,190,470,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,91,12,350,310,680,1060,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,41,13,370,290,1060,680,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,131,14,520,140,870,870,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,111,15,470,190,730,1010,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,311,16,930,810,510,150,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,31,17,350,310,1060,680,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,301,18,910,830,520,140,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,71,19,420,240,1040,700,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,281,20,970,770,490,170,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,321,21,950,790,510,150,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,21,22,430,230,1030,710,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,331,23,960,780,500,160,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,51,24,390,270,1050,690,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,381,25,1050,690,270,390,1,0,0,1,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,11,26,450,210,1020,720,1,1,1,0,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,231,27,670,530,420,780,1,1,0,0,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,211,28,600,600,410,790,0,1,0,0,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,171,29,640,560,790,410,1,0,1,1,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
