"","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","BMissing","CMissing","Attrition","Age","Gender","Education"
"1",2.75,4,1.75,3,2,0,1,0,60,1,0
"2",3.25,3.5,3,3.25,2.75,0,0,0,64,1,1
"3",3.5,2.75,4,4.25,1.75,0,1,0,60,0,0
"4",4,4,4,3.75,1.5,0,1,0,60,1,0
"5",2.5,3,1.75,4.25,2,0,1,0,60,0,1
"6",3.75,4.75,1.5,4.5,1.25,0,0,0,60,1,1
"7",2.25,4.25,2.25,3.25,2.75,0,1,0,60,0,0
"8",5,4,4.5,4.5,2,1,0,0,60,0,0
"9",2.75,4.75,4.75,4.5,2,0,0,0,60,0,0
"10",3.25,3.75,2.75,3.5,2.75,0,1,0,60,1,0
"11",3.25,3,3.75,4,3,0,0,0,60,0,1
"12",2.75,3.75,3.5,4.5,2,0,1,0,60,1,0
"13",4,4.75,1.75,4,2.75,0,0,0,60,1,1
"14",3.25,4.25,2,4.75,1.75,0,0,0,60,1,0
"15",2.25,3,3.25,3.75,3,0,0,0,60,1,0
"16",3.75,3.5,3.25,4.25,2.25,0,0,0,60,0,1
"17",3,3.5,2.75,2.5,2.5,0,0,0,60,0,0
"18",4.25,4.25,3.5,4,1.75,0,0,0,60,1,0
"19",4,4.75,3.75,4.25,1,0,0,0,60,0,1
"20",2.25,5,3.75,2.75,1.25,0,0,0,60,0,0
"21",4.75,3.5,4.5,3.75,1.25,0,0,0,60,0,1
"22",4,4,3.25,4.25,2.25,0,0,0,60,1,1
"23",4.75,4.25,2.75,3,2.75,0,0,0,60,0,0
"24",3.75,4.75,4.5,4.75,2.25,1,1,1,60,1,0
"25",4.25,3.75,3,4.25,3,0,0,0,60,1,1
"26",3.25,4,3.25,4.5,2.5,0,0,0,60,1,0
"27",3,3.75,3.75,4.25,1.75,1,1,1,60,1,0
"28",2.75,5,2,3,4,1,1,1,60,0,0
"29",2.75,4,3.5,4,3,0,0,0,60,0,0
"30",3.75,4.75,4.25,4.75,2.25,0,0,0,60,1,1
"31",3.25,3,4,4,2.75,0,1,0,60,0,0
"32",3.75,4.75,4.25,3.5,1.75,0,0,0,60,0,0
"33",3.5,3.25,3.25,4,1.25,1,0,0,60,1,0
"34",2.5,4,1.5,4,1,0,0,0,60,1,0
"35",2.5,3,2,3,3,0,1,0,60,1,0
"36",3,3.75,1.5,2,4,1,1,1,60,1,1
"37",3.25,3.75,2.75,3.25,2.75,0,0,0,60,1,1
"38",3.25,3,2,2.75,3.25,1,1,1,60,0,0
"39",4,4,4.5,4,2,0,0,0,60,1,1
"40",2.5,3,2,3.5,3,0,0,0,60,1,1
"41",4.75,4,3.5,4.5,1.75,0,0,0,60,1,1
"42",4.25,4.25,4.75,4.25,1.5,1,1,1,60,1,0
"43",3,4,2.5,4,1.25,0,0,0,60,0,0
"44",4.5,3,4.5,2.5,1.75,0,0,0,60,0,1
"45",3.5,4.25,4.25,4.5,3,1,0,0,60,0,0
"46",4.5,4,4,4.75,1.5,1,1,1,60,0,0
"47",4,3.75,2.5,3.75,2,0,0,0,60,0,1
"48",3.25,4,4.5,3.25,1.75,0,0,0,60,1,1
"49",3.5,4,3,4,3.25,0,0,0,60,1,0
"50",4.5,5,3.75,4.75,2.75,0,0,0,60,1,0
"51",2.75,4,3,3.25,2,1,0,0,60,0,0
"52",4.25,2.5,1.75,3.75,3.25,0,0,0,60,0,0
"53",2.5,3.75,1.75,4.5,2.5,1,1,1,60,1,1
"54",4.25,2.75,2.75,2.5,3.25,0,0,0,60,1,0
"55",3.75,3.75,3,3.25,3.75,1,1,1,60,0,0
"56",3,2.75,1.25,2,4.5,0,0,0,60,0,0
"57",5,3.75,5,4.75,1,0,0,0,60,1,1
"58",4.75,2.5,2.25,4.25,1.75,0,0,0,60,0,0
"59",2.75,4.25,3,3.75,2.25,0,0,0,60,0,0
"60",2.5,4.25,2.25,2,3,1,1,1,60,1,0
"61",4.5,3.75,3,4,1.5,1,1,1,60,0,0
"62",4,2.5,3.25,4.75,2.5,0,0,0,60,1,1
"63",4.5,4.25,3,3.75,3.25,0,1,0,60,0,1
"64",3.5,4.25,3.5,3.5,2.75,0,1,0,60,0,1
"65",3.25,3.75,3,4.75,2.25,0,0,0,60,1,1
"66",5,3.25,2.75,5,2.5,1,1,1,60,0,1
"67",1,5,2,2.5,2.5,1,1,1,60,0,0
"68",3.75,4.25,3,5,2.25,0,0,0,60,1,1
"69",5,4.25,3.25,5,2.75,0,0,0,60,0,0
"70",2.75,2.5,2.25,4.25,2.25,0,0,0,60,1,0
"71",3.25,4.25,2.5,3.75,2.5,0,1,0,60,1,0
"72",4.75,3.75,2.75,5,1.25,0,0,0,60,0,1
"73",1,2,1,2,3.5,1,1,1,60,0,0
"74",4.75,4.5,4,4.5,1.5,0,0,0,60,1,0
"75",4.5,4.5,3.5,4.25,2.5,0,1,0,60,1,0
"76",4,3.25,5,4.75,1.75,1,1,1,60,0,1
"77",2.75,4,3.5,4.25,3.25,0,0,0,60,1,0
"78",4.25,4.25,2.75,4.25,2,0,0,0,60,0,1
"79",2.5,3.25,1.75,2.75,2.25,0,0,0,60,0,0
"80",3.5,3.5,4,5,2,0,0,0,60,1,0
"81",3.5,3.25,3.25,4,3.75,0,0,0,60,1,1
"82",4.25,4.75,4.5,3.75,2.75,0,1,0,60,0,0
"83",2.5,3.75,2,3.5,2.75,1,1,1,60,1,1
"84",3.5,3,3,3.75,3.25,0,0,0,60,1,0
"85",4.5,4.5,2,3.75,3.5,0,0,0,60,1,1
"86",2.5,4.75,3.25,4,3,0,0,0,60,0,0
"87",3.5,4.75,3.75,3.75,2.25,0,0,0,60,0,0
"88",4.75,5,4.25,4.25,2.25,0,0,0,60,0,1
"89",3,4.5,4,4.5,1.25,0,0,0,60,0,0
"90",3,3.75,3.25,4.5,1,0,0,0,60,1,1
"91",4.25,3.75,3.25,4.75,1.75,0,0,0,60,1,0
"92",5,5,3,4,2.25,0,0,0,60,1,1
"93",3,3.75,3.5,3.25,3,0,0,0,60,0,1
"94",2.5,4.75,3.25,4,3.25,0,0,0,60,1,0
"95",4,4.5,4,3.25,2,0,0,0,60,0,0
"96",3.25,4.25,2.5,4,3.25,0,0,0,60,1,0
"97",2.5,3.5,1.75,1.75,3.75,0,1,0,60,0,0
"98",4,4,4.75,4.25,1,1,0,0,60,1,0
"99",1.5,5,4.5,5,2,1,1,1,60,1,0
"100",4,3.25,3.25,3.75,2,0,0,0,60,0,1
"101",3.25,3.25,3,4.75,1.75,0,0,0,60,1,0
"102",3.75,3.5,4.25,4.5,3.25,0,0,0,60,0,0
"103",4,4.75,3.75,4,1.75,1,0,0,60,0,0
"104",3.25,5,3.75,4.5,1.75,0,0,0,60,1,0
"105",1.75,4.25,1.75,3.5,1.5,0,0,0,60,0,0
"106",3,3.75,3.25,4.25,3,1,1,1,60,1,0
"107",5,5,4.5,4.5,3.25,0,1,0,60,1,0
"108",2.25,4.25,2.75,3,3,0,0,0,60,0,1
"109",4.75,3.75,2.5,4,2,0,0,0,60,0,0
"110",3.75,3.25,2.75,3,3,0,0,0,60,0,0
