,sid,gid,order,variable,value
0,12010050501,121,1,self_x,510
1,12010050501,341,2,self_x,870
2,12010050501,291,3,self_x,890
3,12010050501,101,4,self_x,400
4,12010050501,351,5,self_x,890
5,12010050501,271,6,self_x,990
6,12010050501,61,7,self_x,410
7,12010050501,361,8,self_x,940
8,12010050501,81,9,self_x,330
9,12010050501,391,10,self_x,1060
10,12010050501,371,11,self_x,1010
11,12010050501,91,12,self_x,350
12,12010050501,41,13,self_x,370
13,12010050501,131,14,self_x,520
14,12010050501,111,15,self_x,470
15,12010050501,311,16,self_x,930
16,12010050501,31,17,self_x,350
17,12010050501,301,18,self_x,910
18,12010050501,71,19,self_x,420
19,12010050501,281,20,self_x,970
20,12010050501,321,21,self_x,950
21,12010050501,21,22,self_x,430
22,12010050501,331,23,self_x,960
23,12010050501,51,24,self_x,390
24,12010050501,381,25,self_x,1050
25,12010050501,11,26,self_x,450
26,12010050501,231,27,self_x,670
27,12010050501,211,28,self_x,600
28,12010050501,171,29,self_x,640
29,12010050501,261,30,self_x,790
30,12010050501,151,31,self_x,700
31,12010050501,181,32,self_x,660
32,12010050501,241,33,self_x,740
33,12010050501,141,34,self_x,720
34,12010050501,221,35,self_x,620
35,12010050501,251,36,self_x,780
36,12010050501,201,37,self_x,690
37,12010050501,161,38,self_x,620
38,12010050501,191,39,self_x,680
39,12010050502,271,1,self_x,990
40,12010050502,281,2,self_x,970
41,12010050502,361,3,self_x,940
42,12010050502,351,4,self_x,890
43,12010050502,21,5,self_x,430
44,12010050502,341,6,self_x,870
45,12010050502,41,7,self_x,370
46,12010050502,321,8,self_x,950
47,12010050502,51,9,self_x,390
48,12010050502,61,10,self_x,410
49,12010050502,301,11,self_x,910
50,12010050502,371,12,self_x,1010
51,12010050502,91,13,self_x,350
52,12010050502,111,14,self_x,470
53,12010050502,311,15,self_x,930
54,12010050502,101,16,self_x,400
55,12010050502,131,17,self_x,520
56,12010050502,71,18,self_x,420
57,12010050502,11,19,self_x,450
58,12010050502,391,20,self_x,1060
59,12010050502,121,21,self_x,510
60,12010050502,81,22,self_x,330
61,12010050502,331,23,self_x,960
62,12010050502,381,24,self_x,1050
63,12010050502,291,25,self_x,890
64,12010050502,31,26,self_x,350
65,12010050502,151,27,self_x,700
66,12010050502,241,28,self_x,740
67,12010050502,211,29,self_x,600
68,12010050502,141,30,self_x,720
69,12010050502,181,31,self_x,660
70,12010050502,171,32,self_x,640
71,12010050502,161,33,self_x,620
72,12010050502,221,34,self_x,620
73,12010050502,231,35,self_x,670
74,12010050502,201,36,self_x,690
75,12010050502,261,37,self_x,790
76,12010050502,191,38,self_x,680
77,12010050502,251,39,self_x,780
78,12010050603,11,1,self_x,450
79,12010050603,91,2,self_x,350
80,12010050603,21,3,self_x,430
81,12010050603,331,4,self_x,960
82,12010050603,31,5,self_x,350
83,12010050603,61,6,self_x,410
84,12010050603,81,7,self_x,330
85,12010050603,321,8,self_x,950
86,12010050603,311,9,self_x,930
87,12010050603,351,10,self_x,890
88,12010050603,51,11,self_x,390
89,12010050603,341,12,self_x,870
90,12010050603,121,13,self_x,510
91,12010050603,41,14,self_x,370
92,12010050603,131,15,self_x,520
93,12010050603,111,16,self_x,470
94,12010050603,371,17,self_x,1010
95,12010050603,381,18,self_x,1050
96,12010050603,281,19,self_x,970
97,12010050603,101,20,self_x,400
98,12010050603,291,21,self_x,890
99,12010050603,391,22,self_x,1060
100,12010050603,271,23,self_x,990
101,12010050603,71,24,self_x,420
102,12010050603,301,25,self_x,910
103,12010050603,361,26,self_x,940
104,12010050603,201,27,self_x,690
105,12010050603,191,28,self_x,680
106,12010050603,161,29,self_x,620
107,12010050603,181,30,self_x,660
108,12010050603,231,31,self_x,670
109,12010050603,171,32,self_x,640
110,12010050603,211,33,self_x,600
111,12010050603,221,34,self_x,620
112,12010050603,241,35,self_x,740
113,12010050603,151,36,self_x,700
114,12010050603,251,37,self_x,780
115,12010050603,141,38,self_x,720
116,12010050603,261,39,self_x,790
117,12010050704,121,1,self_x,510
118,12010050704,101,2,self_x,400
119,12010050704,11,3,self_x,450
120,12010050704,41,4,self_x,370
121,12010050704,321,5,self_x,950
122,12010050704,271,6,self_x,990
123,12010050704,51,7,self_x,390
124,12010050704,71,8,self_x,420
125,12010050704,291,9,self_x,890
126,12010050704,391,10,self_x,1060
127,12010050704,21,11,self_x,430
128,12010050704,361,12,self_x,940
129,12010050704,301,13,self_x,910
130,12010050704,131,14,self_x,520
131,12010050704,341,15,self_x,870
132,12010050704,281,16,self_x,970
133,12010050704,311,17,self_x,930
134,12010050704,331,18,self_x,960
135,12010050704,31,19,self_x,350
136,12010050704,61,20,self_x,410
137,12010050704,381,21,self_x,1050
138,12010050704,81,22,self_x,330
139,12010050704,351,23,self_x,890
140,12010050704,371,24,self_x,1010
141,12010050704,111,25,self_x,470
142,12010050704,91,26,self_x,350
143,12010050704,201,27,self_x,690
144,12010050704,241,28,self_x,740
145,12010050704,161,29,self_x,620
146,12010050704,251,30,self_x,780
